iter	Passed	Remaining
870	10674	111879
871	10685	111858
872	10696	111832
873	10705	111783
874	10715	111748
875	10724	111697
876	10735	111671
877	10745	111639
878	10754	111590
879	10764	111556
880	10772	111504
881	10789	111536
882	10803	111545
883	10813	111511
884	10822	111460
885	10833	111441
886	10846	111434
887	10858	111417
888	10869	111396
889	10881	111379
890	10892	111355
891	10900	111304
892	10910	111269
893	10919	111221
894	10929	111182
895	10939	111156
896	10949	111122
897	10960	111093
898	10969	111046
899	10979	111011
900	10989	110982
901	10998	110936
902	11008	110902
903	11017	110853
904	11026	110817
905	11035	110767
906	11047	110750
907	11058	110728
908	11069	110705
909	11080	110678
910	11090	110654
911	11099	110603
912	11109	110571
913	11119	110536
914	11128	110497
915	11141	110489
916	11152	110469
917	11161	110421
918	11171	110387
919	11179	110338
920	11189	110307
921	11198	110263
922	11208	110223
923	11218	110198
924	11228	110165
925	11238	110130
926	11250	110115
927	11261	110087
928	11272	110063
929	11283	110046
930	11301	110087
931	11310	110049
932	11325	110060
933	11336	110040
934	11346	110002
935	11358	109990
936	11368	109963
937	11378	109925
938	11389	109904
939	11400	109877
940	11409	109838
941	11420	109814
942	11431	109789
943	11440	109751
944	11451	109729
945	11463	109713
946	11473	109680
947	11483	109648
948	11500	109681
949	11510	109651
950	11522	109639
951	11532	109609
952	11541	109563
953	11551	109532
954	11560	109494
955	11571	109469
956	11583	109456
957	11592	109414
958	11603	109391
959	11614	109367
960	11623	109327
961	11632	109291
962	11644	109272
963	11655	109249
964	11666	109228
965	11680	109231
966	11689	109193
967	11706	109232
968	11718	109213
969	11730	109201
970	11739	109165
971	11749	109130
972	11763	109139
973	11775	109124
974	11786	109104
975	11803	109132
976	11813	109104
977	11824	109079
978	11833	109041
979	11844	109020
980	11855	108995
981	11865	108965
982	11876	108944
983	11886	108908
984	11896	108877
985	11906	108848
986	11916	108815
987	11926	108788
988	11939	108782
989	11948	108745
990	11958	108715
991	11967	108670
992	11978	108651
993	11988	108620
994	11996	108575
995	12006	108543
996	12015	108497
997	12025	108466
998	12034	108430
999	12045	108406
1000	12055	108378
1001	12064	108337
1002	12074	108309
1003	12085	108286
1004	12094	108245
1005	12104	108215
1006	12113	108175
1007	12123	108153
1008	12135	108138
1009	12148	108133
1010	12157	108097
1011	12168	108074
1012	12178	108043
1013	12188	108016
1014	12200	107999
1015	12209	107963
1016	12220	107939
1017	12229	107905
1018	12239	107872
1019	12249	107846
1020	12258	107805
1021	12268	107779
1022	12278	107743
1023	12289	107721
1024	12300	107700
1025	12316	107730
1026	12336	107781
1027	12357	107851
1028	12371	107853
1029	12384	107850
1030	12396	107840
1031	12406	107809
1032	12417	107790
1033	12428	107770
1034	12440	107760
1035	12451	107740
1036	12463	107725
1037	12473	107694
1038	12484	107674
1039	12496	107660
1040	12507	107638
1041	12517	107612
1042	12528	107593
1043	12538	107565
1044	12549	107541
1045	12562	107538
1046	12586	107628
1047	12598	107616
1048	12610	107607
1049	12621	107580
1050	12631	107556
1051	12644	107549
1052	12656	107539
1053	12675	107587
1054	12685	107557
